Occ,Risk,income,number
"IT business analysts, architects and systems designers",17.3,24.35,148000
Programmers and software development professionals,0,21.97,388000
Conservation professionals,6.6,16.42,15000
Environment professionals,6.6,18.47,43000
Research and development managers,11,25.53,55000
Medical practitioners,91.2,31.27,296000
Psychologists,32.6,24.75,36000
Pharmacists,76,21.13,70000
Ophthalmic opticians,75,23.14,18000
Dental practitioners,90,24.76,41000
Veterinarians,89,19.66,27000
Medical radiographers,89.8,20,34000
Podiatrists,67.8,19.55,12000
Health professionals n.e.c.,67.8,18.8,64000
Physiotherapists,61,18.69,73000
Occupational therapists,67.8,18.37,47000
Speech and language therapists,60,17.67,20000
Therapy professionals n.e.c.,32.6,19.3,63000
Nurses,91.5,18.04,669000
Midwives,89,20.99,45000
Higher education teaching professionals,11.1,26.76,178000
Further education teaching professionals,23.7,20.42,127000
Secondary education teaching professionals,17,23.61,395000
Primary and nursery education teaching professionals,50,22.04,437000
Special needs education teaching professionals,48.8,21.64,86000
Senior professionals of educational establishments,14.3,32.35,96000
Education advisers and school inspectors,8.5,20.56,35000
Teaching and other educational professionals n.e.c.,36,17.25,253000
Barristers and judges,14,18.07,30000
Solicitors,14,23.09,122000
Legal professionals n.e.c.,14,39.48,60000
Chartered and certified accountants,2.8,20.09,185000
Management consultants and business analysts,4.3,21.32,198000
Business and financial project management professionals,4.3,24.66,272000
"Actuaries, economists and statisticians",2.1,22.94,56000
Business and related research professionals,4.2,18.4,54000
"Business, research and administrative professionals n.e.c.",4.2,23.67,75000
Architects,2,21.45,55000
Town planning officers,6,16.38,19000
Quantity surveyors,8,21.75,54000
Chartered surveyors,4.7,19.07,61000
Chartered architectural technologists,2,19.21,6000
Construction project managers and related professionals,4,18.06,83000
Social workers,46.4,18.93,111000
Probation officers,46.4,18.14,13000
Clergy,26.5,13.58,48000
Welfare professionals n.e.c.,46.4,16.99,30000
Librarians,17,13.83,20000
Archivists and curators,3.5,14.64,17000
Quality control and planning engineers,8,18.73,35000
Quality assurance and regulatory professionals,4.3,22.39,107000
Environmental health professionals,34,19.33,10000
"Journalists, newspaper and periodical editors",4.5,17.72,80000
Public relations professionals,4,15.46,67000
Advertising accounts managers and creative directors,2.3,21.77,39000
Laboratory technicians,4.2,10.87,73000
Electrical and electronics technicians,6.5,16.47,35000
Engineering technicians,5.4,16.07,100000
Building and civil engineering technicians,29.8,14.24,22000
Quality assurance technicians,16.1,13.61,34000
"Planning, process and production technicians",1,14.58,27000
"Science, engineering and production technicians n.e.c.",16.1,13.06,49000
Architectural and town planning technicians,29.8,14.37,23000
Draughtspersons,1.5,14.85,38000
IT operations technicians,7,15.93,108000
Paramedics,89,19.83,28000
Dispensing opticians,40,12.52,9000
Pharmaceutical technicians,72,11.52,33000
Medical and dental technicians,89.8,14.84,42000
Youth and community workers,58,12.77,74000
Child and early years officers,58,12.34,43000
Housing officers,58,14.9,54000
Counsellors,46.4,14.49,26000
Welfare and housing associate professionals n.e.c.,58,12.27,142000
Police officers (sergeant and below),62.8,19.19,153000
Fire service officers (watch manager and below),53.8,15.86,44000
Prison service officers (below principal officer),78.5,14.85,42000
Police community support officers,62.8,14.07,13000
Protective service associate professionals n.e.c.,28.4,16.83,63000
Artists,1,13.8,60000
"Authors, writers and translators",1.8,15.43,91000
"Actors, entertainers and presenters",5,12.57,54000
Dancers and choreographers,8,15.12,23000
Musicians,13.3,19.38,54000
"Arts officers, producers and directors",1.4,18.15,100000
"Photographers, audio-visual and broadcasting equipment operators",6,13.43,73000
Graphic designers,0,13.44,89000
"Product, clothing and related designers",1.7,14.83,83000
Sports players,6,14.46,14000
"Sports coaches, instructors and officials",9.3,12.09,97000
Fitness instructors,27.8,10.33,68000
Air traffic controllers,11.5,45.54,8000
Aircraft pilots and flight engineers,23,38.46,26000
Ship and hovercraft officers,18,21.38,14000
Legal associate professionals,13.5,15,74000
"Estimators, valuers and assessors",4.2,15.27,62000
Brokers,2.8,26.17,53000
Insurance underwriters,5,18.58,29000
Finance and investment analysts and advisers,1,19.14,219000
Taxation experts,2.8,26.09,35000
Importers and exporters,2.7,14.92,6000
Financial and accounting technicians,3.4,21.99,23000
Financial accounts managers,4,18.36,176000
